,Filename,Size in,Depth in,Size out,Depth out,CX Count out,CX Depth out,Runtime
ising_model_16.qasm,benchmarking/ibmq/ising_model_16.qasm,818,73,786,71,150,20,0.209296
urf4_187.qasm,benchmarking/ibmq/urf4_187.qasm,512096,264332,566158,346107,212420,181574,421.365310
4mod5-v1_24.qasm,benchmarking/ibmq/4mod5-v1_24.qasm,68,23,40,27,16,15,0.063224
f2_232.qasm,benchmarking/ibmq/f2_232.qasm,1238,670,1335,841,500,430,1.097961
mod5d1_63.qasm,benchmarking/ibmq/mod5d1_63.qasm,54,15,22,13,13,11,0.011167
sym9_146.qasm,benchmarking/ibmq/sym9_146.qasm,360,129,368,206,146,111,0.186642
dist_223.qasm,benchmarking/ibmq/dist_223.qasm,38078,19696,42080,25603,15703,13017,31.535274
alu-v4_36.qasm,benchmarking/ibmq/alu-v4_36.qasm,147,68,126,81,49,45,0.105456
sym10_262.qasm,benchmarking/ibmq/sym10_262.qasm,64315,35574,71402,45245,26545,23041,53.763558
plus63mod4096_163.qasm,benchmarking/ibmq/plus63mod4096_163.qasm,128776,72248,145152,93874,53082,46442,135.594450
alu-bdd_288.qasm,benchmarking/ibmq/alu-bdd_288.qasm,116,50,95,63,38,35,0.094460
ground_state_estimation_10.qasm,benchmarking/ibmq/ground_state_estimation_10.qasm,390212,245616,399667,257157,154002,151405,91.908958
4gt11_82.qasm,benchmarking/ibmq/4gt11_82.qasm,59,22,31,26,18,18,0.020732
4gt5_75.qasm,benchmarking/ibmq/4gt5_75.qasm,115,49,94,63,38,33,0.027553
graycode6_47.qasm,benchmarking/ibmq/graycode6_47.qasm,37,7,5,5,5,5,0.071184
alu-v2_33.qasm,benchmarking/ibmq/alu-v2_33.qasm,69,24,41,29,17,15,0.013900
alu-v2_32.qasm,benchmarking/ibmq/alu-v2_32.qasm,195,94,176,117,72,69,0.043625
4gt11_83.qasm,benchmarking/ibmq/4gt11_83.qasm,55,18,27,22,14,14,0.014738
hwb8_113.qasm,benchmarking/ibmq/hwb8_113.qasm,69412,38719,77664,50428,28646,25342,59.947307
qft_16.qasm,benchmarking/ibmq/qft_16.qasm,544,107,561,255,230,122,0.319085
plus63mod8192_164.qasm,benchmarking/ibmq/plus63mod8192_164.qasm,187144,105144,207028,131807,78042,68243,179.540100
decod24-v2_43.qasm,benchmarking/ibmq/decod24-v2_43.qasm,84,32,52,30,22,22,0.008797
cnt3-5_180.qasm,benchmarking/ibmq/cnt3-5_180.qasm,517,211,551,283,205,145,0.513405
clip_206.qasm,benchmarking/ibmq/clip_206.qasm,33859,17881,37779,23416,14056,11917,29.263625
sqrt8_260.qasm,benchmarking/ibmq/sqrt8_260.qasm,3041,1661,3374,2169,1260,1115,2.475633
4gt13_92.qasm,benchmarking/ibmq/4gt13_92.qasm,98,40,71,42,29,25,0.072936
cnt3-5_179.qasm,benchmarking/ibmq/cnt3-5_179.qasm,207,63,195,93,81,55,0.256349
alu-v4_37.qasm,benchmarking/ibmq/alu-v4_37.qasm,69,24,40,26,18,16,0.012815
urf1_278.qasm,benchmarking/ibmq/urf1_278.qasm,54798,30957,63348,42035,25053,21681,56.158698
ex2_227.qasm,benchmarking/ibmq/ex2_227.qasm,663,357,687,437,266,246,0.366711
rd73_140.qasm,benchmarking/ibmq/rd73_140.qasm,262,94,253,148,102,83,0.090308
mod5d2_64.qasm,benchmarking/ibmq/mod5d2_64.qasm,85,34,58,39,25,25,0.017864
urf6_160.qasm,benchmarking/ibmq/urf6_160.qasm,171872,93647,193252,121585,72700,66459,186.010070
wim_266.qasm,benchmarking/ibmq/wim_266.qasm,1018,516,1095,679,412,356,0.951775
co14_215.qasm,benchmarking/ibmq/co14_215.qasm,17968,8572,20029,11400,7373,5721,20.613060
sym6_145.qasm,benchmarking/ibmq/sym6_145.qasm,3920,2189,4211,2703,1627,1476,1.836824
rd53_133.qasm,benchmarking/ibmq/rd53_133.qasm,612,329,627,394,241,215,0.336943
4gt4-v0_72.qasm,benchmarking/ibmq/4gt4-v0_72.qasm,290,139,285,179,113,99,0.103448
