,Filename,Size in,Depth in,Size out,Depth out,CX Count out,CX Depth out,Runtime
alu-v4_37.qasm,benchmarking/ibmq/alu-v4_37.qasm,69,24,52,39,36,32,0.031821
urf1_278.qasm,benchmarking/ibmq/urf1_278.qasm,54798,30957,87721,64032,65326,53817,93.686207
ex2_227.qasm,benchmarking/ibmq/ex2_227.qasm,663,357,893,666,616,543,0.839054
rd73_140.qasm,benchmarking/ibmq/rd73_140.qasm,262,94,366,238,266,203,0.326588
mod5d2_64.qasm,benchmarking/ibmq/mod5d2_64.qasm,85,34,80,67,58,56,0.050706
urf6_160.qasm,benchmarking/ibmq/urf6_160.qasm,171872,93647,277024,194294,201832,163070,374.38797
wim_266.qasm,benchmarking/ibmq/wim_266.qasm,1018,516,1402,986,968,825,1.332331
co14_215.qasm,benchmarking/ibmq/co14_215.qasm,17968,8572,28263,18172,20421,15339,37.304902
sym6_145.qasm,benchmarking/ibmq/sym6_145.qasm,3920,2189,5535,4231,3832,3521,4.685117
rd53_133.qasm,benchmarking/ibmq/rd53_133.qasm,612,329,843,632,591,519,0.758701
4gt4-v0_72.qasm,benchmarking/ibmq/4gt4-v0_72.qasm,290,139,378,289,264,237,0.264752
