,Filename,Size in,Depth in,Size out,Depth out,CX Count out,CX Depth out,Runtime
plus63mod8192_164.qasm,benchmarking/ibmq/plus63mod8192_164.qasm,187144,105144,238860,170285,73511,62538,256.602032
decod24-v2_43.qasm,benchmarking/ibmq/decod24-v2_43.qasm,84,32,63,46,22,22,0.032582
cnt3-5_180.qasm,benchmarking/ibmq/cnt3-5_180.qasm,517,211,566,324,198,146,0.415621
clip_206.qasm,benchmarking/ibmq/clip_206.qasm,33859,17881,44235,30079,13090,10587,43.982975
sqrt8_260.qasm,benchmarking/ibmq/sqrt8_260.qasm,3041,1661,3780,2631,1176,998,3.379942
4gt13_92.qasm,benchmarking/ibmq/4gt13_92.qasm,98,40,78,58,28,24,0.093221
cnt3-5_179.qasm,benchmarking/ibmq/cnt3-5_179.qasm,207,63,229,90,80,41,0.313840
alu-v4_37.qasm,benchmarking/ibmq/alu-v4_37.qasm,69,24,46,33,18,16,0.024242
urf1_278.qasm,benchmarking/ibmq/urf1_278.qasm,54798,30957,70140,49103,24181,20617,63.607641
ex2_227.qasm,benchmarking/ibmq/ex2_227.qasm,663,357,764,543,246,214,0.505849
rd73_140.qasm,benchmarking/ibmq/rd73_140.qasm,262,94,282,154,100,71,0.185434
mod5d2_64.qasm,benchmarking/ibmq/mod5d2_64.qasm,85,34,64,49,25,25,0.033784
urf6_160.qasm,benchmarking/ibmq/urf6_160.qasm,171872,93647,221687,149261,70408,63680,244.757275
wim_266.qasm,benchmarking/ibmq/wim_266.qasm,1018,516,1211,807,380,314,1.021474
co14_215.qasm,benchmarking/ibmq/co14_215.qasm,17968,8572,22291,14067,7007,5256,24.835065
sym6_145.qasm,benchmarking/ibmq/sym6_145.qasm,3920,2189,4607,3322,1493,1293,2.963764
rd53_133.qasm,benchmarking/ibmq/rd53_133.qasm,612,329,687,479,230,195,0.459220
4gt4-v0_72.qasm,benchmarking/ibmq/4gt4-v0_72.qasm,290,139,301,209,101,89,0.167601
