,Filename,Size in,Depth in,Size out,Depth out,CX Count out,CX Depth out,Runtime
urf2_152.qasm,benchmarking/ibmq/urf2_152.qasm,80512,44102,127458,98274,92243,81737,114.535475
rd53_135.qasm,benchmarking/ibmq/rd53_135.qasm,328,161,483,371,353,316,0.343638
rd32_270.qasm,benchmarking/ibmq/rd32_270.qasm,116,49,128,105,90,87,0.096736
cm152a_212.qasm,benchmarking/ibmq/cm152a_212.qasm,1253,686,1967,1519,1433,1276,1.654945
4gt10-v1_81.qasm,benchmarking/ibmq/4gt10-v1_81.qasm,180,86,227,182,162,152,0.149825
qft_10.qasm,benchmarking/ibmq/qft_10.qasm,232,65,143,58,102,42,0.297107
rd32-v0_66.qasm,benchmarking/ibmq/rd32-v0_66.qasm,66,22,39,31,24,24,0.027593
rd53_251.qasm,benchmarking/ibmq/rd53_251.qasm,1323,714,2116,1679,1549,1409,1.723316
alu-v3_35.qasm,benchmarking/ibmq/alu-v3_35.qasm,69,24,61,47,45,40,0.035463
squar5_261.qasm,benchmarking/ibmq/squar5_261.qasm,2025,1051,3258,2390,2383,2014,3.198453
4gt4-v0_78.qasm,benchmarking/ibmq/4gt4-v0_78.qasm,267,139,338,276,239,228,0.268864
urf2_277.qasm,benchmarking/ibmq/urf2_277.qasm,20144,11392,39381,28916,31231,24916,35.054674
urf3_155.qasm,benchmarking/ibmq/urf3_155.qasm,423520,229367,698467,516594,513185,431667,669.524235
4gt13-v1_93.qasm,benchmarking/ibmq/4gt13-v1_93.qasm,100,41,100,81,69,66,0.077428
4gt4-v0_73.qasm,benchmarking/ibmq/4gt4-v0_73.qasm,427,229,620,503,450,424,0.42779
one-two-three-v0_97.qasm,benchmarking/ibmq/one-two-three-v0_97.qasm,322,165,456,364,328,299,0.301981
rd73_252.qasm,benchmarking/ibmq/rd73_252.qasm,5353,2869,9292,7075,6970,6050,8.556479
rd84_142.qasm,benchmarking/ibmq/rd84_142.qasm,375,112,538,243,388,206,0.574914
sym9_193.qasm,benchmarking/ibmq/sym9_193.qasm,34913,19237,59332,45096,44098,38349,58.699982
4mod7-v1_96.qasm,benchmarking/ibmq/4mod7-v1_96.qasm,196,96,237,189,164,155,0.163715
ising_model_16.qasm,benchmarking/ibmq/ising_model_16.qasm,818,73,669,195,447,164,1.096977
urf4_187.qasm,benchmarking/ibmq/urf4_187.qasm,512096,264332,871846,629093,647809,531800,912.407162
4mod5-v1_24.qasm,benchmarking/ibmq/4mod5-v1_24.qasm,68,23,52,42,37,35,0.040676
