,Filename,Size in,Depth in,Size out,Depth out,CX Count out,CX Depth out,Runtime
4mod5-bdd_287.qasm,benchmarking/ibmq/4mod5-bdd_287.qasm,102,43,83,61,52,49,0.064425
urf5_158.qasm,benchmarking/ibmq/urf5_158.qasm,164448,89147,198158,138719,126221,112774,185.501542
4gt11_84.qasm,benchmarking/ibmq/4gt11_84.qasm,50,13,26,22,18,18,0.020980
decod24-v0_38.qasm,benchmarking/ibmq/decod24-v0_38.qasm,83,32,63,49,39,39,0.053183
ising_model_10.qasm,benchmarking/ibmq/ising_model_10.qasm,512,72,217,52,96,27,0.607395
4mod5-v0_19.qasm,benchmarking/ibmq/4mod5-v0_19.qasm,67,23,41,31,25,25,0.024958
4gt4-v1_74.qasm,benchmarking/ibmq/4gt4-v1_74.qasm,305,156,330,228,209,187,0.300200
4mod5-v1_22.qasm,benchmarking/ibmq/4mod5-v1_22.qasm,53,14,31,25,23,22,0.017000
4gt12-v0_87.qasm,benchmarking/ibmq/4gt12-v0_87.qasm,279,133,264,164,157,130,0.187195
alu-v1_29.qasm,benchmarking/ibmq/alu-v1_29.qasm,69,24,54,44,38,36,0.037848
4gt12-v0_86.qasm,benchmarking/ibmq/4gt12-v0_86.qasm,283,137,269,175,162,141,0.190518
alu-v1_28.qasm,benchmarking/ibmq/alu-v1_28.qasm,69,24,55,46,39,37,0.037721
4mod5-v1_23.qasm,benchmarking/ibmq/4mod5-v1_23.qasm,101,43,75,49,44,39,0.052007
hwb9_119.qasm,benchmarking/ibmq/hwb9_119.qasm,207807,116201,274798,197544,183910,159523,388.359366
sf_274.qasm,benchmarking/ibmq/sf_274.qasm,813,438,896,631,558,518,0.727453
life_238.qasm,benchmarking/ibmq/life_238.qasm,22477,12513,28413,19453,18611,15929,29.219734
4mod5-v0_18.qasm,benchmarking/ibmq/4mod5-v0_18.qasm,101,42,72,50,43,40,0.078627
majority_239.qasm,benchmarking/ibmq/majority_239.qasm,644,346,691,464,423,368,0.538723
hwb5_53.qasm,benchmarking/ibmq/hwb5_53.qasm,1368,760,1572,1119,988,900,1.668837
ham7_104.qasm,benchmarking/ibmq/ham7_104.qasm,352,187,399,258,260,217,0.322548
