,Filename,Size in,Depth in,Size out,Depth out,CX Count out
rd53_131.qasm,benchmarking/ibmq/rd53_131.qasm,501,263,653,483,453
urf1_149.qasm,benchmarking/ibmq/urf1_149.qasm,184896,99587,273463,198513,192580
mini_alu_305.qasm,benchmarking/ibmq/mini_alu_305.qasm,205,71,267,159,191
4mod7-v0_94.qasm,benchmarking/ibmq/4mod7-v0_94.qasm,194,94,232,183,159
z4_268.qasm,benchmarking/ibmq/z4_268.qasm,3105,1646,4602,3377,3261
cm82a_208.qasm,benchmarking/ibmq/cm82a_208.qasm,682,339,964,687,679
sao2_257.qasm,benchmarking/ibmq/sao2_257.qasm,38609,19565,60217,41808,43350
aj-e11_165.qasm,benchmarking/ibmq/aj-e11_165.qasm,183,88,221,172,153
misex1_241.qasm,benchmarking/ibmq/misex1_241.qasm,4845,2678,7177,5194,5071
alu-v0_26.qasm,benchmarking/ibmq/alu-v0_26.qasm,116,51,129,100,93
sym6_316.qasm,benchmarking/ibmq/sym6_316.qasm,302,137,432,295,312
decod24-bdd_294.qasm,benchmarking/ibmq/decod24-bdd_294.qasm,105,42,106,86,71
miller_11.qasm,benchmarking/ibmq/miller_11.qasm,82,31,72,60,50
sqn_258.qasm,benchmarking/ibmq/sqn_258.qasm,10255,5460,15065,10589,10604
rd32-v1_68.qasm,benchmarking/ibmq/rd32-v1_68.qasm,68,23,39,31,24
dc1_220.qasm,benchmarking/ibmq/dc1_220.qasm,1946,1040,2820,2024,1979
hwb6_56.qasm,benchmarking/ibmq/hwb6_56.qasm,6755,3738,9747,7372,6802
decod24-enable_126.qasm,benchmarking/ibmq/decod24-enable_126.qasm,370,192,507,396,357
one-two-three-v2_100.qasm,benchmarking/ibmq/one-two-three-v2_100.qasm,101,42,100,77,69
mod5adder_127.qasm,benchmarking/ibmq/mod5adder_127.qasm,587,304,766,561,524
urf3_279.qasm,benchmarking/ibmq/urf3_279.qasm,125394,70704,200655,145922,148987
one-two-three-v3_101.qasm,benchmarking/ibmq/one-two-three-v3_101.qasm,102,42,104,82,71
4mod5-v0_20.qasm,benchmarking/ibmq/4mod5-v0_20.qasm,52,14,32,26,23
mod8-10_177.qasm,benchmarking/ibmq/mod8-10_177.qasm,472,253,648,511,452
ising_model_13.qasm,benchmarking/ibmq/ising_model_13.qasm,665,73,325,80,165
sf_276.qasm,benchmarking/ibmq/sf_276.qasm,810,437,1115,846,777
mlp4_245.qasm,benchmarking/ibmq/mlp4_245.qasm,18884,10330,29663,21370,21428
cm85a_209.qasm,benchmarking/ibmq/cm85a_209.qasm,11446,6376,17760,13393,12773
cm42a_207.qasm,benchmarking/ibmq/cm42a_207.qasm,1808,942,2705,1923,1926
4gt12-v1_89.qasm,benchmarking/ibmq/4gt12-v1_89.qasm,260,132,328,246,227
alu-v0_27.qasm,benchmarking/ibmq/alu-v0_27.qasm,68,23,51,41,35
pm1_249.qasm,benchmarking/ibmq/pm1_249.qasm,1808,942,2705,1923,1926
mod5mils_65.qasm,benchmarking/ibmq/mod5mils_65.qasm,67,23,49,40,34
9symml_195.qasm,benchmarking/ibmq/9symml_195.qasm,34913,19237,53557,38768,38323
mod10_171.qasm,benchmarking/ibmq/mod10_171.qasm,276,141,368,294,259
ex1_226.qasm,benchmarking/ibmq/ex1_226.qasm,39,7,13,11,11
ex-1_166.qasm,benchmarking/ibmq/ex-1_166.qasm,51,14,27,22,18
decod24-v1_41.qasm,benchmarking/ibmq/decod24-v1_41.qasm,117,52,122,90,83
4gt12-v0_88.qasm,benchmarking/ibmq/4gt12-v0_88.qasm,226,110,287,218,200
rd53_138.qasm,benchmarking/ibmq/rd53_138.qasm,164,58,187,117,129
4gt4-v0_79.qasm,benchmarking/ibmq/4gt4-v0_79.qasm,263,134,313,245,214
max46_240.qasm,benchmarking/ibmq/max46_240.qasm,27158,14259,40251,28138,28405
alu-v3_34.qasm,benchmarking/ibmq/alu-v3_34.qasm,84,32,75,62,52
3_17_13.qasm,benchmarking/ibmq/3_17_13.qasm,68,24,51,44,35
decod24-v3_45.qasm,benchmarking/ibmq/decod24-v3_45.qasm,182,86,208,161,140
4gt4-v0_80.qasm,benchmarking/ibmq/4gt4-v0_80.qasm,211,103,256,201,176
mod8-10_178.qasm,benchmarking/ibmq/mod8-10_178.qasm,374,195,483,363,332
hwb7_59.qasm,benchmarking/ibmq/hwb7_59.qasm,24411,13439,35990,27226,25325
hwb4_49.qasm,benchmarking/ibmq/hwb4_49.qasm,265,136,323,248,223
root_255.qasm,benchmarking/ibmq/root_255.qasm,17191,8837,26621,18947,19125
4mod5-bdd_287.qasm,benchmarking/ibmq/4mod5-bdd_287.qasm,102,43,102,83,71
urf5_158.qasm,benchmarking/ibmq/urf5_158.qasm,164448,89147,242107,176948,170170
4gt11_84.qasm,benchmarking/ibmq/4gt11_84.qasm,50,13,26,22,18
decod24-v0_38.qasm,benchmarking/ibmq/decod24-v0_38.qasm,83,32,72,59,48
ising_model_10.qasm,benchmarking/ibmq/ising_model_10.qasm,512,72,241,75,120
4mod5-v0_19.qasm,benchmarking/ibmq/4mod5-v0_19.qasm,67,23,56,44,40
4gt4-v1_74.qasm,benchmarking/ibmq/4gt4-v1_74.qasm,305,156,388,312,267
4mod5-v1_22.qasm,benchmarking/ibmq/4mod5-v1_22.qasm,53,14,34,29,26
4gt12-v0_87.qasm,benchmarking/ibmq/4gt12-v0_87.qasm,279,133,339,252,232
alu-v1_29.qasm,benchmarking/ibmq/alu-v1_29.qasm,69,24,60,50,44
4gt12-v0_86.qasm,benchmarking/ibmq/4gt12-v0_86.qasm,283,137,344,252,237
alu-v1_28.qasm,benchmarking/ibmq/alu-v1_28.qasm,69,24,61,51,45
4mod5-v1_23.qasm,benchmarking/ibmq/4mod5-v1_23.qasm,101,43,102,84,71
hwb9_119.qasm,benchmarking/ibmq/hwb9_119.qasm,207807,116201,314281,236864,223395
sf_274.qasm,benchmarking/ibmq/sf_274.qasm,813,438,1055,762,717
life_238.qasm,benchmarking/ibmq/life_238.qasm,22477,12513,33881,24622,24079
4mod5-v0_18.qasm,benchmarking/ibmq/4mod5-v0_18.qasm,101,42,99,83,70
majority_239.qasm,benchmarking/ibmq/majority_239.qasm,644,346,871,638,603
hwb5_53.qasm,benchmarking/ibmq/hwb5_53.qasm,1368,760,1931,1510,1345
ham7_104.qasm,benchmarking/ibmq/ham7_104.qasm,352,187,470,359,331
urf2_152.qasm,benchmarking/ibmq/urf2_152.qasm,80512,44102,115772,85584,80557
rd53_135.qasm,benchmarking/ibmq/rd53_135.qasm,328,161,451,330,321
rd32_270.qasm,benchmarking/ibmq/rd32_270.qasm,116,49,110,84,72
cm152a_212.qasm,benchmarking/ibmq/cm152a_212.qasm,1253,686,1842,1366,1308
4gt10-v1_81.qasm,benchmarking/ibmq/4gt10-v1_81.qasm,180,86,215,170,150
qft_10.qasm,benchmarking/ibmq/qft_10.qasm,232,65,115,58,82
rd32-v0_66.qasm,benchmarking/ibmq/rd32-v0_66.qasm,66,22,39,31,24
rd53_251.qasm,benchmarking/ibmq/rd53_251.qasm,1323,714,1877,1394,1311
alu-v3_35.qasm,benchmarking/ibmq/alu-v3_35.qasm,69,24,52,39,36
squar5_261.qasm,benchmarking/ibmq/squar5_261.qasm,2025,1051,2994,2104,2119
4gt4-v0_78.qasm,benchmarking/ibmq/4gt4-v0_78.qasm,267,139,326,252,227
urf2_277.qasm,benchmarking/ibmq/urf2_277.qasm,20144,11392,32142,23536,24005
urf3_155.qasm,benchmarking/ibmq/urf3_155.qasm,423520,229367,630246,456375,444964
4gt13-v1_93.qasm,benchmarking/ibmq/4gt13-v1_93.qasm,100,41,97,75,66
4gt4-v0_73.qasm,benchmarking/ibmq/4gt4-v0_73.qasm,427,229,555,447,385
one-two-three-v0_97.qasm,benchmarking/ibmq/one-two-three-v0_97.qasm,322,165,425,344,297
rd73_252.qasm,benchmarking/ibmq/rd73_252.qasm,5353,2869,7825,5622,5503
rd84_142.qasm,benchmarking/ibmq/rd84_142.qasm,375,112,529,268,379
sym9_193.qasm,benchmarking/ibmq/sym9_193.qasm,34913,19237,53557,38768,38323
4mod7-v1_96.qasm,benchmarking/ibmq/4mod7-v1_96.qasm,196,96,237,189,164
ising_model_16.qasm,benchmarking/ibmq/ising_model_16.qasm,818,73,398,79,198
urf4_187.qasm,benchmarking/ibmq/urf4_187.qasm,512096,264332,768610,527884,544573
4mod5-v1_24.qasm,benchmarking/ibmq/4mod5-v1_24.qasm,68,23,52,41,37
f2_232.qasm,benchmarking/ibmq/f2_232.qasm,1238,670,1792,1369,1264
mod5d1_63.qasm,benchmarking/ibmq/mod5d1_63.qasm,54,15,34,28,26
sym9_146.qasm,benchmarking/ibmq/sym9_146.qasm,360,129,512,315,370
dist_223.qasm,benchmarking/ibmq/dist_223.qasm,38078,19696,58529,40557,41905
alu-v4_36.qasm,benchmarking/ibmq/alu-v4_36.qasm,147,68,159,129,109
sym10_262.qasm,benchmarking/ibmq/sym10_262.qasm,64315,35574,97753,70461,69667
plus63mod4096_163.qasm,benchmarking/ibmq/plus63mod4096_163.qasm,128776,72248,200485,149591,144160
alu-bdd_288.qasm,benchmarking/ibmq/alu-bdd_288.qasm,116,50,127,100,89
ground_state_estimation_10.qasm,benchmarking/ibmq/ground_state_estimation_10.qasm,390212,245616,28327,20072,23291
4gt11_82.qasm,benchmarking/ibmq/4gt11_82.qasm,59,22,47,38,39
4gt5_75.qasm,benchmarking/ibmq/4gt5_75.qasm,115,49,120,97,83
graycode6_47.qasm,benchmarking/ibmq/graycode6_47.qasm,37,7,5,5,5
alu-v2_33.qasm,benchmarking/ibmq/alu-v2_33.qasm,69,24,49,39,32
alu-v2_32.qasm,benchmarking/ibmq/alu-v2_32.qasm,195,94,233,183,159
4gt11_83.qasm,benchmarking/ibmq/4gt11_83.qasm,55,18,37,33,29
hwb8_113.qasm,benchmarking/ibmq/hwb8_113.qasm,69412,38719,102207,76601,71850
qft_16.qasm,benchmarking/ibmq/qft_16.qasm,544,107,302,106,215
plus63mod8192_164.qasm,benchmarking/ibmq/plus63mod8192_164.qasm,187144,105144,291824,218356,209966
decod24-v2_43.qasm,benchmarking/ibmq/decod24-v2_43.qasm,84,32,74,61,49
cnt3-5_180.qasm,benchmarking/ibmq/cnt3-5_180.qasm,517,211,742,463,525
clip_206.qasm,benchmarking/ibmq/clip_206.qasm,33859,17881,52117,36492,37345
sqrt8_260.qasm,benchmarking/ibmq/sqrt8_260.qasm,3041,1661,4567,3409,3250
4gt13_92.qasm,benchmarking/ibmq/4gt13_92.qasm,98,40,93,69,63
cnt3-5_179.qasm,benchmarking/ibmq/cnt3-5_179.qasm,207,63,292,157,216
alu-v4_37.qasm,benchmarking/ibmq/alu-v4_37.qasm,69,24,52,39,36
urf1_278.qasm,benchmarking/ibmq/urf1_278.qasm,54798,30957,87721,64032,65326
ex2_227.qasm,benchmarking/ibmq/ex2_227.qasm,663,357,893,666,616
rd73_140.qasm,benchmarking/ibmq/rd73_140.qasm,262,94,366,238,266
mod5d2_64.qasm,benchmarking/ibmq/mod5d2_64.qasm,85,34,80,67,58
urf6_160.qasm,benchmarking/ibmq/urf6_160.qasm,171872,93647,277024,194294,201832
wim_266.qasm,benchmarking/ibmq/wim_266.qasm,1018,516,1402,986,968
co14_215.qasm,benchmarking/ibmq/co14_215.qasm,17968,8572,28263,18172,20421
sym6_145.qasm,benchmarking/ibmq/sym6_145.qasm,3920,2189,5535,4231,3832
rd53_133.qasm,benchmarking/ibmq/rd53_133.qasm,612,329,843,632,591
4gt4-v0_72.qasm,benchmarking/ibmq/4gt4-v0_72.qasm,290,139,378,289,264
